Timestamp;matlab_p
18842;5.137541E+000
18868;5.118886E+000
18894;5.229175E+000
18919;5.169618E+000
18945;5.151686E+000
18971;5.152183E+000
18996;5.219958E+000
19021;5.096380E+000
19047;5.193972E+000
19073;5.205300E+000
19098;5.148642E+000
19124;5.118934E+000
19149;5.183948E+000
19174;5.177436E+000
19200;5.126290E+000
19226;5.124139E+000
19251;5.203218E+000
19277;5.149754E+000
19302;5.127079E+000
19328;5.155643E+000
19354;5.139537E+000
19380;5.228823E+000
19405;5.215153E+000
19430;5.139717E+000
19456;5.158014E+000
19481;5.102571E+000
19506;5.195310E+000
19531;5.159162E+000
19556;5.138924E+000
19582;5.149809E+000
19608;5.143040E+000
19633;5.168087E+000
19659;5.200958E+000
19685;5.263638E+000
19710;5.209888E+000
19737;5.113335E+000
19762;5.175037E+000
19787;5.161716E+000
19812;5.152346E+000
19837;5.165923E+000
19863;5.065074E+000
19888;5.161944E+000
19914;5.173067E+000
19940;5.186661E+000
19966;5.163195E+000
19991;5.189354E+000
20016;5.140124E+000
20042;5.130635E+000
20068;5.166211E+000
20093;5.213903E+000
20119;5.116509E+000
20145;5.129672E+000
20170;5.128555E+000
20195;5.188242E+000
20221;5.152105E+000
20246;5.236807E+000
20272;5.164021E+000
20297;5.164021E+000
20323;5.139175E+000
20348;5.134923E+000
20373;5.069320E+000
20399;5.156970E+000
20424;5.155199E+000
20449;5.143489E+000
20474;5.158507E+000
20500;5.144279E+000
20526;5.117502E+000
20552;5.139005E+000
20577;5.166142E+000
20603;5.181125E+000
20629;5.083256E+000
20654;5.100254E+000
20680;5.165133E+000
20705;5.190972E+000
20730;5.190360E+000
20755;5.132364E+000
20780;5.191266E+000
20805;5.208406E+000
20831;5.154902E+000
20857;5.195291E+000
20883;5.184747E+000
20908;5.119939E+000
20933;5.120408E+000
20959;5.118126E+000
20984;5.208829E+000
21010;5.208829E+000
21036;5.164277E+000
21061;5.195757E+000
21087;5.180744E+000
21112;5.210483E+000
21137;5.126060E+000
21163;5.151491E+000
21188;5.202482E+000
21213;5.081897E+000
21238;5.190182E+000
21264;5.131352E+000
21289;5.188682E+000
21315;5.135363E+000
21340;5.157091E+000
21366;5.165630E+000
21391;5.109074E+000
21416;5.176624E+000
21442;5.137079E+000
21467;5.109006E+000
21492;5.153900E+000
21518;5.165453E+000
21543;5.099288E+000
21568;5.132679E+000
21594;5.127912E+000
21619;5.199190E+000
21645;5.127769E+000
21671;5.177264E+000
21696;5.103457E+000
21722;5.103457E+000
21748;5.131850E+000
21773;5.132905E+000
21799;5.180205E+000
21824;5.152701E+000
21850;5.121968E+000
21876;5.175736E+000
21901;5.187066E+000
21927;5.204738E+000
21952;5.172064E+000
21977;5.113576E+000
22002;5.144246E+000
22029;5.109143E+000
22055;5.130824E+000
22081;5.058034E+000
22106;5.131323E+000
22131;5.174162E+000
22157;5.236819E+000
22182;5.138341E+000
22207;5.050149E+000
22232;5.069653E+000
22258;5.139003E+000
22284;5.111283E+000
22309;5.123150E+000
22335;5.176592E+000
22360;5.180030E+000
22385;5.061785E+000
22411;5.151409E+000
22437;5.086784E+000
22462;5.100775E+000
22488;5.094882E+000
22513;5.110073E+000
22538;5.163384E+000
22563;5.165245E+000
22589;5.100351E+000
22615;5.199668E+000
22641;5.089830E+000
22667;5.152613E+000
22692;5.117549E+000
22717;5.157362E+000
22742;5.146183E+000
22768;5.122971E+000
22793;5.186290E+000
22818;5.102973E+000
22843;5.194354E+000
22868;5.134462E+000
22895;5.146036E+000
22920;5.234948E+000
22946;5.197622E+000
22972;5.159479E+000
22997;5.138275E+000
23022;5.119631E+000
23049;5.135229E+000
23074;5.154423E+000
23100;5.162371E+000
23125;5.143716E+000
23151;5.143716E+000
23177;5.175471E+000
23203;5.157981E+000
23228;5.161504E+000
23253;5.206091E+000
23279;5.145354E+000
23305;5.143374E+000
23330;5.135839E+000
23356;5.218964E+000
23381;5.135170E+000
23406;5.163225E+000
23432;5.126552E+000
23457;5.160763E+000
23483;5.139934E+000
23508;5.162586E+000
23533;5.171093E+000
23558;5.144314E+000
23584;5.151088E+000
23609;5.153303E+000
23634;5.153303E+000
23660;5.134895E+000
23686;5.205294E+000
23712;5.174539E+000
23737;5.142489E+000
