Timestamp;power_now;chassis_power
46178;5.994065E+000;4.787663E+000
46204;5.995176E+000;4.798390E+000
46230;5.993829E+000;4.752192E+000
46256;5.994102E+000;4.934707E+000
46283;5.993630E+000;4.857535E+000
46310;5.994866E+000;4.866917E+000
46336;5.993178E+000;4.835099E+000
46363;5.993837E+000;4.821286E+000
46389;5.994031E+000;4.793092E+000
46416;5.993293E+000;4.851014E+000
46442;5.993625E+000;4.831501E+000
46469;5.993392E+000;4.821336E+000
46496;5.993444E+000;4.822165E+000
46523;5.993324E+000;4.804954E+000
46550;5.994372E+000;4.769310E+000
46577;5.992917E+000;4.836648E+000
46603;5.993458E+000;4.803225E+000
46630;5.993597E+000;4.797482E+000
46656;5.992889E+000;4.797029E+000
46682;5.994646E+000;4.849020E+000
46708;5.993478E+000;4.825493E+000
46735;5.993523E+000;4.834580E+000
46761;5.993338E+000;4.806254E+000
46788;5.993115E+000;4.806254E+000
46813;5.994063E+000;4.778781E+000
46839;5.993317E+000;4.819996E+000
46866;5.995047E+000;4.846268E+000
46893;5.992803E+000;4.852198E+000
46920;5.993383E+000;4.837965E+000
46946;5.994720E+000;4.822540E+000
46973;5.993298E+000;4.810709E+000
46999;5.992955E+000;4.768533E+000
47025;5.994303E+000;4.822365E+000
47052;5.993433E+000;4.863411E+000
47078;5.993364E+000;4.852882E+000
47105;5.993382E+000;4.771849E+000
47132;5.994910E+000;4.844363E+000
47158;5.993597E+000;4.839042E+000
47184;5.993570E+000;4.809398E+000
47211;5.995526E+000;4.830362E+000
47238;5.993872E+000;4.832520E+000
47264;5.994594E+000;4.824761E+000
47291;5.994532E+000;4.857434E+000
47318;5.997722E+000;4.809027E+000
47344;5.994309E+000;4.845906E+000
47370;5.993260E+000;4.845569E+000
47396;5.993269E+000;4.781692E+000
47423;5.993607E+000;4.858262E+000
47449;5.993797E+000;4.842743E+000
47475;5.993426E+000;4.855985E+000
47502;5.995129E+000;4.839397E+000
47529;5.993106E+000;4.816522E+000
47555;5.993479E+000;4.825645E+000
47581;5.993929E+000;4.857383E+000
47607;5.994427E+000;4.841681E+000
47634;5.992920E+000;4.874102E+000
47661;5.994251E+000;4.884143E+000
47688;5.992907E+000;4.907586E+000
47715;5.992788E+000;4.855825E+000
47741;5.993117E+000;4.793814E+000
